,"tamil,movies"
0,The Batman
1,Doctor Strange in the Multiverse of Madness
2,Thor: Love and Thunder
3,Top Gun: Maverick
4,Black Panther: Wakanda Forever
5,The Northman
6,The Gray Man
7,Everything Everywhere All at Once
8,Death on the Nile
9,X
10,Bullet Train
11,Elvis
12,Nope
13,Black Adam
14,Prey
15,Uncharted
16,The Adam Project
17,Jurassic World: Dominion
18,Don't Worry Darling
19,Fantastic Beasts: The Secrets of Dumbledore
20,Avatar: The Way of Water
21,Scream
22,Morbius
23,Blonde
24,The Black Phone
